sequence_index,database_id,identity_name,record_type,structure_marker,record_offset,name_offset,name_length,confidence_score
8786,304652,"Otacílio",5,189,0x006146C7,0x006146CB,8,100
8790,317415,"Válter",5,189,0x0061474D,0x00614751,6,100
8791,306625,"Nem",5,189,0x0061476E,0x00614772,3,100
8792,7400191,"Hílton",5,189,0x00614789,0x0061478D,6,100
8793,309570,"Alê",5,189,0x006147AA,0x006147AE,3,100
8796,307481,"Netinho",5,189,0x00614805,0x00614809,7,100
8797,305863,"Ânderson",5,189,0x00614828,0x0061482C,8,100
8798,306614,"Pinto",5,189,0x0061484D,0x00614851,5,100
8799,311760,"Zé Mário",5,189,0x0061486C,0x00614870,8,100
8800,305404,"Dunga",5,189,0x00614891,0x00614895,5,100
8801,3300317,"Mano",5,189,0x006148B0,0x006148B4,4,100
8804,306463,"Rodrigues",5,189,0x00614911,0x00614915,9,100
8805,305461,"Arthur",5,189,0x00614938,0x0061493C,6,100
8806,318510,"Rondinelli",5,189,0x00614959,0x0061495D,10,100
8809,311804,"Gérson",5,189,0x006149D4,0x006149D8,6,100
8811,318413,"Nando",5,189,0x00614A12,0x00614A16,5,100
8812,5701290,"Maciel",5,189,0x00614A31,0x00614A35,6,100
8813,304307,"Clóvis",5,189,0x00614A52,0x00614A56,6,100
8814,734157,"Binho",4,189,0x00614A73,0x00614A77,5,100
8815,311331,"Oséias",4,189,0x00614A92,0x00614A96,6,100
8817,315598,"Deivid",4,189,0x00614AD6,0x00614ADA,6,100
8819,736447,"Lula",4,189,0x00614B24,0x00614B28,4,100
8820,318565,"Teco",4,189,0x00614B41,0x00614B45,4,100
8821,311933,"Mineiro",4,189,0x00614B5E,0x00614B62,7,100
8824,775572,"Luís",4,189,0x00614BC7,0x00614BCB,4,100
8825,321063,"Marcos Rogério",4,189,0x00614BE4,0x00614BE8,14,100
8827,321032,"Tonhão",4,189,0x00614C38,0x00614C3C,6,100
8828,320897,"Jajá",4,189,0x00614C59,0x00614C5D,4,100
8829,320859,"Luís Henrique",4,189,0x00614C76,0x00614C7A,13,100
8832,320794,"Clésio",4,189,0x00614CE7,0x00614CEB,6,100
8833,311238,"Márcio Vieira",4,189,0x00614D08,0x00614D0C,13,100
8835,304471,"Jean Carlos",4,189,0x00614D5C,0x00614D60,11,100
8836,304446,"Marcelo Santos",4,189,0x00614D87,0x00614D8B,14,100
8837,320357,"Joélson",4,189,0x00614DB8,0x00614DBC,7,100
8838,8871510,"Leo",4,189,0x00614DDB,0x00614DDF,3,100
8839,304324,"Magal",4,189,0x00614DF6,0x00614DFA,5,100
8841,316633,"Rodrigo Costa",4,189,0x00614E42,0x00614E46,13,100
8844,945302,"Mota",4,189,0x00614EB3,0x00614EB7,4,100
8845,5723527,"Nascimento",4,189,0x00614ED0,0x00614ED4,10,100
8853,1013293,"Mirandinha",4,189,0x00614FE0,0x00614FE4,10,100
8856,319743,"Dione",4,189,0x00615049,0x0061504D,5,100
8857,6600638,"Genílson",4,189,0x00615068,0x0061506C,8,100
8858,318235,"Hermes",4,189,0x0061508D,0x00615091,6,100
8860,304129,"Laerte",4,189,0x006150CD,0x006150D1,6,100
8861,312139,"Sena",4,189,0x006150EE,0x006150F2,4,100
8862,311550,"Rodriguinho",4,189,0x0061510B,0x0061510F,11,100
8863,306156,"Glauco",4,189,0x00615136,0x0061513A,6,100
8865,2001669,"Gélson",4,189,0x00615178,0x0061517C,6,100
8866,318218,"Alencar",4,189,0x00615199,0x0061519D,7,100
8867,306206,"Gian",4,189,0x006151BC,0x006151C0,4,100
8874,319240,"Roberval",4,189,0x006152B5,0x006152B9,8,100
8875,306389,"Ezequiel",4,189,0x006152DA,0x006152DE,8,100
