reference_kind,boundary_kind,relative_offset,occurrence_count,distinct_players,flamengo_players,corinthians_players,assessment,player_names
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-88,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,88,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,93,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-93,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,94,1,1,1,0,ISOLATED_BOUNDARY,"Douglas Silva"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,96,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,98,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-98,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
PERSON_DATABASE_ID,ZERO_RUN_BEFORE,-99,1,1,1,0,ISOLATED_BOUNDARY,"Júnior Baiano"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,99,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,109,1,1,1,0,ISOLATED_BOUNDARY,"Bruno Santos"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-113,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,113,1,1,0,1,ISOLATED_BOUNDARY,"Dinélson"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-114,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,115,1,1,1,0,ISOLATED_BOUNDARY,"Dimba"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-118,1,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
