club_database_id,save1_full_name,save2_full_name,save1_short_name,save2_short_name,save1_index,save2_index,index_delta,save1_offset,save2_offset,present_save1,present_save2,database_id_stable,save_index_stable,full_name_equivalent,short_name_equivalent,status
476,"Sparta de Praga","Sparta de Praga","Sparta de Praga","Sparta de Praga",106,120,14,0x00097006,0x0009683B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
482,"Aarhus Gymnastik Forening","Aarhus Gymnastik Forening","AGF","AGF",107,121,14,0x000970E6,0x0009692A,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
483,"Aalborg Boldspilklub","Aalborg Boldspilklub","AaB","AaB",108,122,14,0x000971EA,0x00096A3E,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
496,"Brøndbyernes Idrætsforening","Brøndbyernes Idrætsforening","Brøndby","Brøndby",109,123,14,0x0009731C,0x00096B70,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
502,"Esbjerg forenede Boldklubber","Esbjerg forenede Boldklubber","Esbjerg fB","Esbjerg fB",110,124,14,0x0009742E,0x00096C92,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
505,"Football Club Copenhaga","Football Club Copenhaga","FC Copenhaga","FC Copenhaga",111,125,14,0x0009755E,0x00096DEE,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
526,"Football Club Midtjylland 1999","Football Club Midtjylland 1999","FC Midtjylland","FC Midtjylland",112,127,15,0x00097678,0x00097027,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
545,"Odense Boldklub","Odense Boldklub","Odense BK","Odense BK",113,128,15,0x0009778E,0x00097145,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
588,"Bohemian F.C.","Bohemian F.C.","Bohemians","Bohemians",114,135,21,0x00097870,0x000977FA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
590,"Cork City","Cork City","Cork City","Cork City",115,136,21,0x00097952,0x000978FC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
597,"Shelbourne F.C.","Shelbourne F.C.","Shelbourne","Shelbourne",116,138,22,0x00097A3A,0x00097B22,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
602,"Arsenal","Arsenal","Arsenal","Arsenal",117,142,25,0x00097B6B,0x0009838F,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
603,"Aston Villa","Aston Villa","Aston Villa","Aston Villa",118,143,25,0x00097CC4,0x00098758,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
609,"Birmingham City","Birmingham City","Birmingham","Birmingham",119,148,29,0x00097DC5,0x000990BB,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
612,"Blackburn Rovers","Blackburn Rovers","Blackburn","Blackburn",120,151,31,0x00097EED,0x000995CA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
614,"Bolton Wanderers","Bolton Wanderers","Bolton","Bolton",121,153,32,0x00097FFC,0x00099C52,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
624,"Cambridge United","Cambridge United","Cambridge","Cambridge",122,163,41,0x000980C9,0x0009BB09,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
628,"Charlton Athletic","Charlton Athletic","Charlton","Charlton",123,167,44,0x000981C3,0x0009C434,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
630,"Chelsea","Chelsea","Chelsea","Chelsea",124,169,45,0x00098368,0x0009C8AA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
642,"Crystal Palace","Crystal Palace","Crystal Palace","Crystal Palace",125,181,56,0x0009847F,0x0009E4C7,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
645,"Derby County","Derby County","Derby","Derby",126,184,58,0x00098561,0x0009ECF2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
650,"Everton","Everton","Everton","Everton",127,188,61,0x00098644,0x0009F538,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
654,"Fulham","Fulham","Fulham","Fulham",128,192,64,0x00098733,0x0009FBF1,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
667,"Ipswich Town","Ipswich Town","Ipswich","Ipswich",129,205,76,0x00098838,0x000A1604,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
671,"Leeds United","Leeds United","Leeds","Leeds",130,209,79,0x00098948,0x000A1E6B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
676,"Liverpool","Liverpool","Liverpool","Liverpool",131,214,83,0x00098A92,0x000A2D0C,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
679,"Manchester City","Manchester City","Man City","Man City",132,217,85,0x00098BB6,0x000A3710,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
680,"Manchester United","Manchester United","Man Utd","Man Utd",133,218,85,0x00098D5A,0x000A3AF0,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
685,"Middlesbrough","Middlesbrough","Middlesbrough","Middlesbrough",134,223,89,0x00098E6E,0x000A443A,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
686,"Millwall","Millwall","Millwall","Millwall",135,224,89,0x00098F35,0x000A4768,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
688,"Newcastle United","Newcastle United","Newcastle","Newcastle",136,226,90,0x000990D1,0x000A4C93,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
691,"Norwich City","Norwich City","Norwich","Norwich",137,229,92,0x00099197,0x000A5419,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
692,"Nottingham Forest","Nottingham Forest","Nottm Forest","Nottm Forest",138,230,92,0x00099298,0x000A577E,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
699,"Portsmouth","Portsmouth","Portsmouth","Portsmouth",139,237,98,0x0009935F,0x000A6E8A,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
713,"Southampton","Southampton","Southampton","Southampton",140,251,111,0x00099449,0x000A92AD,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
728,"Tottenham Hotspur","Tottenham Hotspur","Tottenham","Tottenham",141,266,125,0x0009959B,0x000AB4A8,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
734,"West Bromwich Albion","West Bromwich Albion","West Brom","West Brom",142,271,129,0x00099694,0x000AC2BC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
735,"West Ham United","West Ham United","West Ham","West Ham",143,272,129,0x000997C8,0x000AC5EF,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
737,"Wigan Athletic","Wigan Athletic","Wigan","Wigan",144,274,130,0x00099896,0x000ACA0A,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
740,"Wolverhampton Wanderers","Wolverhampton Wanderers","Wolves","Wolves",145,277,132,0x000999B3,0x000ACF3C,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
746,"FC Flora Tallinn","FC Flora Tallinn","Flora","Flora",146,282,136,0x00099A9C,0x000ADAF9,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
751,"JK Narva Trans","JK Narva Trans","Trans","Trans",147,283,136,0x00099B71,0x000ADBCE,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
803,"Tofta Ítróttarfelag B68","Tofta Ítróttarfelag B68","","",148,284,136,0x00099C26,0x000ADCAA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
805,"Havnar Bóltfelag","Havnar Bóltfelag","HB","HB",149,286,137,0x00099CF1,0x000ADE45,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
809,"Tampere United","Tampere United","Tampere Utd","Tampere Utd",150,289,139,0x00099DD2,0x000AE0B4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
811,"FC Lahti","FC Lahti","FC Lahti","FC Lahti",151,290,139,0x00099EA2,0x000AE18C,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
816,"Helsingin Jalkapalloklubi","Helsingin Jalkapalloklubi","HJK","HJK",152,292,140,0x00099FA4,0x000AE33C,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
817,"FC Haka Valkeakoski","FC Haka Valkeakoski","FC Haka","FC Haka",153,293,140,0x0009A0A5,0x000AE445,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
820,"Myllykosken Pallo -47","Myllykosken Pallo -47","MyPa","MyPa",154,295,141,0x0009A196,0x000AE5FB,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
824,"Auxerre","Auxerre","Auxerre","Auxerre",155,297,142,0x0009A29A,0x000AE7E3,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
826,"Mónaco","Mónaco","Mónaco","Mónaco",156,298,142,0x0009A3D5,0x000AE92F,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
828,"St. Etienne","St. Etienne","St. Etienne","St. Etienne",157,299,142,0x0009A4E2,0x000AEA3B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
846,"Nantes","Nantes","Nantes","Nantes",158,300,142,0x0009A602,0x000AEB97,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
851,"Bordéus","Bordéus","Bordéus","Bordéus",159,301,142,0x0009A72A,0x000AECF6,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
855,"Châteauroux","Châteauroux","Châteauroux","Châteauroux",160,303,143,0x0009A7FF,0x000AEEBE,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
856,"Le Havre","Le Havre","Le Havre","Le Havre",161,304,143,0x0009A8E4,0x000AEFA7,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
858,"Lille","Lille","Lille","Lille",162,305,143,0x0009A9D0,0x000AF09B,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
