club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
158,846,0x0009A602,143,255,255,"Nantes","Nantes",632161,125,105,HIGH
159,851,0x0009A72A,143,255,255,"Bordéus","Bordéus",632453,125,105,HIGH
160,855,0x0009A7FF,143,255,255,"Châteauroux","Châteauroux",632714,61,105,HIGH
161,856,0x0009A8E4,143,255,255,"Le Havre","Le Havre",632931,85,105,HIGH
162,858,0x0009A9D0,143,255,255,"Lille","Lille",633187,77,105,HIGH
163,862,0x0009AAA1,143,255,255,"Nice","Nice",633392,85,105,HIGH
164,865,0x0009ABB8,143,255,255,"Lyon","Lyon",633647,109,105,HIGH
165,866,0x0009ACC8,143,255,255,"Marselha","Marselha",633911,101,105,HIGH
166,868,0x0009AE0F,143,255,255,"St. Germain","St. Germain",634210,117,105,HIGH
167,871,0x0009AF1B,143,255,255,"Lens","Lens",634530,93,105,HIGH
168,872,0x0009B04B,143,255,255,"Estrasburgo","Estrasburgo",634798,101,105,HIGH
169,876,0x0009B12C,143,255,255,"Bastia","Bastia",635051,93,105,HIGH
170,880,0x0009B228,143,255,255,"Sedan","Sedan",635307,93,105,HIGH
171,884,0x0009B301,144,255,255,"Rennes","Rennes",635528,85,105,HIGH
172,890,0x0009B39C,144,255,255,"Dila Gori","Dila",635735,31,105,HIGH
173,892,0x0009B46F,145,255,255,"Dinamo Tbilisi","D.Tblisi",635921,38,105,HIGH
174,899,0x0009B576,145,255,255,"1.FC Nuremberga","Nuremberga",636111,105,105,HIGH
175,900,0x0009B65F,145,255,255,"TSV Alemannia Aachen","Aachen",636374,73,105,HIGH
176,901,0x0009B7A4,145,255,255,"Bayer 04 Leverkusen","Leverkusen",636653,113,105,HIGH
177,904,0x0009B89E,145,255,255,"DSC Arminia Bielefeld","Bielefeld",636932,82,105,HIGH
178,905,0x0009B983,145,255,255,"VfL Bochum","Bochum",637182,89,105,HIGH
179,907,0x0009BAB1,145,255,255,"Borussia Dortmund","Dortmund",637457,98,105,HIGH
180,908,0x0009BBC2,145,255,255,"Borussia Mönchengladbach","Gladbach",637717,97,105,HIGH
181,912,0x0009BCA8,145,255,255,"Eintracht Frankfurt","Frankfurt",637986,66,105,HIGH
182,915,0x0009BDF9,145,255,255,"FC Bayern Munique","Bayern Munique",638286,97,105,HIGH
183,916,0x0009BECF,145,255,255,"1.FC Köln","Colónia",638553,74,105,HIGH
184,918,0x0009BFA2,145,255,255,"1.FSV Mainz 05","Mainz",638767,65,105,HIGH
185,920,0x0009C0F6,145,255,255,"FC Schalke 04","Schalke 04",639035,129,105,HIGH
186,921,0x0009C1D4,145,255,255,"Fortuna Düsseldorf","Düsseldorf",639318,58,105,HIGH
187,927,0x0009C2A6,145,255,255,"Hannover 96","Hannover 96",639540,58,105,HIGH
188,928,0x0009C3A9,145,255,255,"FC Hansa Rostock","Rostock",639750,105,105,HIGH
189,932,0x0009C47B,145,255,255,"Kickers Offenbach","Offenbach",640009,50,105,HIGH
190,942,0x0009C544,145,255,255,"FC Carl Zeiss Jena","Jena",640219,49,105,HIGH
191,944,0x0009C63E,145,255,255,"SC Friburgo","Friburgo",640451,73,105,HIGH
192,945,0x0009C74D,145,255,255,"1.FC Kaiserslautern","Kaiserslautern",640701,66,105,HIGH
193,946,0x0009C81D,145,255,255,"FC St. Pauli","St. Pauli",640941,58,105,HIGH
194,947,0x0009C91C,145,255,255,"Hamburgo SV","Hamburgo",641184,74,105,HIGH
195,948,0x0009CA61,145,255,255,"SV Werder Bremen","Werder Bremen",641454,109,105,HIGH
196,949,0x0009CB3D,145,255,255,"1.FC Saarbrücken","Saarbrücken",641729,58,105,HIGH
197,955,0x0009CC42,145,255,255,"TSV Munique 1860","Munique 1860",641980,66,105,HIGH
198,960,0x0009CD57,145,255,255,"VFB Estugarda","Estugarda",642245,90,105,HIGH
199,961,0x0009CE59,145,255,255,"VfL Wolfsburg","Wolfsburgo",642518,73,105,HIGH
200,963,0x0009CF4B,146,255,255,"SG Wattenscheid 09","Wattenscheid",642745,74,105,HIGH
201,967,0x0009D05F,146,255,255,"AEK Atenas","AEK",643028,101,105,HIGH
202,981,0x0009D1C6,146,255,255,"Olympiakos SF Piraeus","Olympiakos",643335,117,105,HIGH
203,982,0x0009D2F0,146,255,255,"AS PAOK Salonika","PAOK",643663,109,105,HIGH
