reference_kind,data_type,relative_offset,flamengo_players,corinthians_players,distinct_players,total_hits,flamengo_names,corinthians_names,assessment
PERSON_DATABASE_ID,UINT32,432,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,436,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,442,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,442,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,443,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,443,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,450,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,450,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,451,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,451,1,0,1,1,"Bruno Santos","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,457,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,457,1,0,1,1,"André Bahia","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,460,1,0,1,1,"Júnior Baiano","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,460,1,0,1,1,"Júnior Baiano","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,467,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,467,0,1,1,1,"","Dinélson",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-468,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-468,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,469,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,469,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,470,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,470,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,478,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,478,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,496,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,496,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,502,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,507,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,507,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,510,1,0,1,1,"Fabiano Eller","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-515,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-515,1,0,1,1,"Andrezinho","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,524,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,535,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,535,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,536,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,536,0,1,1,1,"","Marcelo Magalhães",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,543,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,543,1,0,1,1,"Reginaldo Araújo","",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,-543,0,1,1,1,"","Fábio Costa",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT32,-543,0,1,1,1,"","Fábio Costa",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT16,561,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
PERSON_DATABASE_ID,UINT32,561,0,1,1,1,"","Rosinei",AUXILIARY_REFERENCE
INTERNAL_PERSON_ID,UINT16,565,0,1,1,1,"","Édson Araújo",AUXILIARY_REFERENCE
